ダウンロードした時刻：2020/07/02 16:22:59

,米子,米子,米子
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2017/8/1,28.0,8,1
2017/8/2,27.1,8,1
2017/8/3,28.0,8,1
2017/8/4,31.3,8,1
2017/8/5,32.0,8,1
2017/8/6,32.6,8,1
2017/8/7,26.7,8,1
2017/8/8,28.1,8,1
2017/8/9,26.5,8,1
2017/8/10,27.3,8,1
2017/8/11,26.0,8,1
2017/8/12,25.9,8,1
2017/8/13,25.5,8,1
2017/8/14,24.8,8,1
2017/8/15,24.8,8,1
2017/8/16,26.7,8,1
2017/8/17,27.3,8,1
2017/8/18,27.4,8,1
2017/8/19,26.6,8,1
2017/8/20,27.1,8,1
2017/8/21,30.2,8,1
2017/8/22,29.3,8,1
2017/8/23,29.9,8,1
2017/8/24,31.1,8,1
2017/8/25,29.0,8,1
2017/8/26,26.9,8,1
2017/8/27,24.9,8,1
2017/8/28,26.9,8,1
2017/8/29,26.4,8,1
2017/8/30,25.5,8,1
2017/8/31,25.4,8,1
2017/9/1,24.3,8,1
2017/9/2,22.6,8,1
2017/9/3,23.0,8,1
2017/9/4,22.3,8,1
2017/9/5,23.3,8,1
2017/9/6,23.4,8,1
2017/9/7,23.1,8,1
2017/9/8,23.5,8,1
2017/9/9,23.4,8,1
2017/9/10,23.6,8,1
2017/9/11,24.7,8,1
2017/9/12,24.2,8,1
2017/9/13,24.1,8,1
2017/9/14,22.6,8,1
2017/9/15,21.0,8,1
2017/9/16,19.4,8,1
2017/9/17,21.8,8,1
2017/9/18,22.3,8,1
2017/9/19,22.5,8,1
2017/9/20,22.4,8,1
2017/9/21,20.5,8,1
2017/9/22,20.9,8,1
2017/9/23,22.0,8,1
2017/9/24,21.3,8,1
2017/9/25,21.1,8,1
2017/9/26,22.1,8,1
2017/9/27,22.3,8,1
2017/9/28,19.3,8,1
2017/9/29,19.0,8,1
2017/9/30,19.1,8,1
2017/10/1,18.3,8,1
2017/10/2,19.2,8,1
2017/10/3,20.5,8,1
2017/10/4,18.5,8,1
2017/10/5,18.0,8,1
2017/10/6,18.2,8,1
2017/10/7,20.5,8,1
2017/10/8,21.0,8,1
2017/10/9,22.0,8,1
2017/10/10,23.2,8,1
2017/10/11,23.4,8,1
2017/10/12,17.5,8,1
2017/10/13,18.1,8,1
2017/10/14,18.8,8,1
2017/10/15,17.6,8,1
2017/10/16,16.5,8,1
2017/10/17,17.2,8,1
2017/10/18,17.2,8,1
2017/10/19,15.7,8,1
2017/10/20,17.6,8,1
2017/10/21,17.7,8,1
2017/10/22,17.4,8,1
2017/10/23,15.8,8,1
2017/10/24,14.5,8,1
2017/10/25,14.3,8,1
2017/10/26,14.7,8,1
2017/10/27,15.4,8,1
2017/10/28,16.4,8,1
2017/10/29,16.7,8,1
2017/10/30,12.9,8,1
2017/10/31,11.6,8,1
2017/11/1,13.8,8,1
2017/11/2,15.9,8,1
2017/11/3,16.9,8,1
2017/11/4,13.3,8,1
2017/11/5,10.3,8,1
2017/11/6,12.0,8,1
2017/11/7,15.4,8,1
2017/11/8,16.9,8,1
2017/11/9,13.5,8,1
2017/11/10,15.1,8,1
2017/11/11,14.1,8,1
2017/11/12,11.0,8,1
2017/11/13,12.3,8,1
2017/11/14,14.1,8,1
2017/11/15,11.1,8,1
2017/11/16,9.4,8,1
2017/11/17,9.1,8,1
2017/11/18,9.8,8,1
2017/11/19,6.5,8,1
2017/11/20,6.8,8,1
2017/11/21,7.6,8,1
2017/11/22,8.4,8,1
2017/11/23,9.5,8,1
2017/11/24,6.3,8,1
2017/11/25,8.1,8,1
2017/11/26,10.1,8,1
2017/11/27,10.4,8,1
2017/11/28,12.7,8,1
